Region 82 Avg IOU: 0.916350, Class: 0.999757, Obj: 0.999931, No Obj: 0.001977, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.893454, Class: 0.999933, Obj: 0.998530, No Obj: 0.000940, .5R: 1.000000, .75R: 1.000000,  count: 5
Region 82 Avg IOU: 0.948891, Class: 0.999994, Obj: 0.999999, No Obj: 0.006338, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: 0.879517, Class: 0.999684, Obj: 0.990886, No Obj: 0.002670, .5R: 1.000000, .75R: 1.000000,  count: 4
Region 106 Avg IOU: 0.817918, Class: 0.999996, Obj: 0.999202, No Obj: 0.001390, .5R: 1.000000, .75R: 0.833333,  count: 6
Region 82 Avg IOU: 0.927773, Class: 1.000000, Obj: 1.000000, No Obj: 0.003999, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.926528, Class: 0.999995, Obj: 0.999990, No Obj: 0.001005, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.828732, Class: 0.999914, Obj: 0.995015, No Obj: 0.001079, .5R: 1.000000, .75R: 0.833333,  count: 6
Region 82 Avg IOU: 0.905919, Class: 0.999849, Obj: 0.999821, No Obj: 0.002173, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.921399, Class: 0.999992, Obj: 0.999211, No Obj: 0.002404, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 106 Avg IOU: 0.816134, Class: 0.999907, Obj: 0.965655, No Obj: 0.001953, .5R: 1.000000, .75R: 0.800000,  count: 10
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.908740, Class: 1.000000, Obj: 0.999997, No Obj: 0.000990, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.771915, Class: 0.999958, Obj: 0.932373, No Obj: 0.001750, .5R: 1.000000, .75R: 0.636364,  count: 11
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.854195, Class: 0.999997, Obj: 0.996417, No Obj: 0.001918, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.860185, Class: 0.999985, Obj: 0.997939, No Obj: 0.000621, .5R: 1.000000, .75R: 1.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.891677, Class: 1.000000, Obj: 0.999941, No Obj: 0.000303, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.890263, Class: 1.000000, Obj: 1.000000, No Obj: 0.001973, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.829253, Class: 0.999770, Obj: 0.993368, No Obj: 0.001112, .5R: 1.000000, .75R: 0.833333,  count: 6
Region 82 Avg IOU: 0.950064, Class: 1.000000, Obj: 0.999999, No Obj: 0.003434, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.925333, Class: 0.999462, Obj: 0.941555, No Obj: 0.001727, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.776695, Class: 0.999922, Obj: 0.971125, No Obj: 0.001005, .5R: 1.000000, .75R: 0.666667,  count: 6
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000001, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.956868, Class: 0.999862, Obj: 0.999611, No Obj: 0.000555, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.761272, Class: 0.999889, Obj: 0.998541, No Obj: 0.000124, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.814893, Class: 0.999635, Obj: 0.940851, No Obj: 0.000588, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.844321, Class: 0.999999, Obj: 0.959616, No Obj: 0.000134, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.887016, Class: 0.999999, Obj: 0.999982, No Obj: 0.003936, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.829700, Class: 0.999882, Obj: 0.914203, No Obj: 0.000654, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.850224, Class: 0.999750, Obj: 0.999815, No Obj: 0.001260, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 106 Avg IOU: 0.749444, Class: 0.999997, Obj: 0.991961, No Obj: 0.000263, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.988156, Class: 1.000000, Obj: 0.999997, No Obj: 0.001972, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000012, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.864594, Class: 0.999991, Obj: 0.998903, No Obj: 0.000735, .5R: 1.000000, .75R: 1.000000,  count: 4
48101: 0.285852, 0.285852 avg, 0.000010 rate, 30.856258 seconds, 1539232 images
Loaded: 0.000043 seconds

